2025-03-26T22:26:15.387+09:00  INFO 36508 --- [main] com.example.signup.SignupApplication     : Starting SignupApplication using Java 17.0.10 with PID 36508 (C:\Users\USER\signup\signup\build\classes\java\main started by USER in C:\Users\USER\signup\signup)
2025-03-26T22:26:15.395+09:00 DEBUG 36508 --- [main] com.example.signup.SignupApplication     : Running with Spring Boot v3.2.6, Spring v6.1.8
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@8b13d91
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte -> org.hibernate.type.BasicTypeReference@8b13d91
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@8b13d91
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary -> org.hibernate.type.BasicTypeReference@285a4fe3
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@285a4fe3
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [B -> org.hibernate.type.BasicTypeReference@285a4fe3
2025-03-26T22:26:17.102+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@16d431b4
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@16d431b4
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration image -> org.hibernate.type.BasicTypeReference@6c0b51da
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration blob -> org.hibernate.type.BasicTypeReference@7558633
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@7558633
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@5657967b
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@61394494
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@578a5ce8
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@578a5ce8
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@578a5ce8
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@7c453c34
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@7c453c34
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@7c453c34
2025-03-26T22:26:17.103+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@16cb9989
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@16cb9989
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@16cb9989
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@3dfd6220
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@3dfd6220
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@3dfd6220
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@3815146b
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@3815146b
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@3815146b
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@6de43bc1
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@6de43bc1
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@27a9f025
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@27a9f025
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character -> org.hibernate.type.BasicTypeReference@71936a92
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char -> org.hibernate.type.BasicTypeReference@71936a92
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@71936a92
2025-03-26T22:26:17.104+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@61359e87
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration string -> org.hibernate.type.BasicTypeReference@2dc39b53
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@2dc39b53
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@45037e16
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration characters -> org.hibernate.type.BasicTypeReference@2f2e4bde
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@2f2e4bde
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [C -> org.hibernate.type.BasicTypeReference@2f2e4bde
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@6222391a
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration text -> org.hibernate.type.BasicTypeReference@538a2f0e
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@d2708a7
2025-03-26T22:26:17.105+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration clob -> org.hibernate.type.BasicTypeReference@508ad266
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@508ad266
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@2313db84
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@2313db84
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@216372b7
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@14b4340c
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@12abcd1e
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@2fd9fb34
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@1595d2b2
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@20349058
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@6cbb7a7d
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@6cbb7a7d
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@cdb3c85
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@cdb3c85
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@37606fee
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@37606fee
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@33d28f0a
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@33d28f0a
2025-03-26T22:26:17.106+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@48d739f
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@48d739f
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@51e7589f
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@65cc5252
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@42c12b3e
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@42c12b3e
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@2dbfa972
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@46f73ffa
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@41aebbb4
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@afde064
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@afde064
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@5a592c70
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@252ec02e
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration date -> org.hibernate.type.BasicTypeReference@11e9ac24
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@11e9ac24
2025-03-26T22:26:17.107+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration time -> org.hibernate.type.BasicTypeReference@74f280bd
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@74f280bd
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@675b18ff
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@675b18ff
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@675b18ff
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar -> org.hibernate.type.BasicTypeReference@34279b8a
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@34279b8a
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@34279b8a
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@687389a6
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@8641b7d
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration instant -> org.hibernate.type.BasicTypeReference@37c7766e
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@37c7766e
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid -> org.hibernate.type.BasicTypeReference@3fb450d7
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@3fb450d7
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@3fb450d7
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@4b7ed03e
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@636985df
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration class -> org.hibernate.type.BasicTypeReference@6f91fbda
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@6f91fbda
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration currency -> org.hibernate.type.BasicTypeReference@723e3c17
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Currency -> org.hibernate.type.BasicTypeReference@723e3c17
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@723e3c17
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration locale -> org.hibernate.type.BasicTypeReference@4ffced4e
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@4ffced4e
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration serializable -> org.hibernate.type.BasicTypeReference@6094de13
2025-03-26T22:26:17.108+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@6094de13
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timezone -> org.hibernate.type.BasicTypeReference@bbb6f0
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@bbb6f0
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@3e6ec74
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@3e6ec74
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration url -> org.hibernate.type.BasicTypeReference@2bd8f7db
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@2bd8f7db
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration vector -> org.hibernate.type.BasicTypeReference@6d7ad0f5
2025-03-26T22:26:17.109+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration row_version -> org.hibernate.type.BasicTypeReference@30abf79c
2025-03-26T22:26:17.114+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration object -> org.hibernate.type.JavaObjectType@6d4a82
2025-03-26T22:26:17.114+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@6d4a82
2025-03-26T22:26:17.114+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration null -> org.hibernate.type.NullType@55361f03
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_date -> org.hibernate.type.BasicTypeReference@581c9bb7
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_time -> org.hibernate.type.BasicTypeReference@138f0661
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_timestamp -> org.hibernate.type.BasicTypeReference@212fafd1
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar -> org.hibernate.type.BasicTypeReference@448462f0
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_date -> org.hibernate.type.BasicTypeReference@787988f4
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_calendar_time -> org.hibernate.type.BasicTypeReference@132e3594
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_binary -> org.hibernate.type.BasicTypeReference@4f235107
2025-03-26T22:26:17.115+09:00 DEBUG 36508 --- [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration imm_serializable -> org.hibernate.type.BasicTypeReference@28d739f1
2025-03-26T22:26:17.251+09:00  INFO 36508 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-26T22:26:17.272+09:00  INFO 36508 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-03-26T22:26:17.413+09:00  INFO 36508 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@52909a97
2025-03-26T22:26:17.416+09:00  INFO 36508 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-03-26T22:26:17.455+09:00  WARN 36508 --- [main] org.hibernate.orm.deprecation            : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-26T22:26:17.472+09:00 DEBUG 36508 --- [main] o.h.t.d.sql.spi.DdlTypeRegistry          : addDescriptor(12, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@779228dc) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@1f7336b2)
